question_index,question_id,question,eigenscore,ln_entropy,avg_token_prob,lexical_similarity,length_mean,length_std,label
0,5225754983651766092,what purpose did seasonal monsoon winds have on trade,5.242519,0.548417,0.699821,0.334534,237.2,20.29,1
1,-3290814144789249484,who got the first nobel prize in physics,1.195124,0.450607,0.733447,0.363594,92.3,84.84,1
2,8851020722386421469,when is the next deadpool movie being released,1.14681,0.881712,0.499737,0.614001,24.5,49.83,1
3,-7660771254611710392,where did the idea of fortnite come from,5.435778,0.889616,0.556479,0.15853,42.2,40.09,1
4,-8817510910624892182,which mode is used for short wave broadcast service,5.21565,0.349835,0.818941,0.371617,215,49.9,1
5,955374967862684316,the south west wind blows across nigeria between,4.535665,0.197953,0.887678,0.559789,191.4,20.4,1
6,-4340755100872459608,what does hp mean in war and order,4.519957,0.571564,0.686951,0.183526,92.1,63.96,0
7,-4752044886865067782,who wrote the first declaration of human rights,5.141579,0.703593,0.635622,0.164794,120.3,104.64,1
8,3221262508309669486,who was the governor general of india when country became independent,5.040327,0.431144,0.794687,0.238398,122.3,59.46,1
9,-3632974700795137148,who is the owner of reading football club,4.408543,0.737799,0.65479,0.331516,77.9,85.51,1
10,6117400998512150504,what happens to the rbc in acute hemolytic reaction,3.896742,0.79648,0.580715,0.199621,66.7,56.19,1
11,-7123670178204378853,where did the first african american air force unit train,4.993096,0.688546,0.63714,0.208339,86.1,85.69,1
12,-8129143127887276431,when is the next scandal episode coming out,3.126338,0.832109,0.530048,0.207013,50.8,58.0,1
13,-6965315175406025099,when is the last time the philadelphia won the superbowl,4.690108,0.694973,0.650585,0.332483,80.6,61.06,1
14,481461689673789519,who was the first lady nominated member of the rajya sabha,4.767278,0.346498,0.822986,0.321731,109.5,70.89,1
15,-3429928405660073272,what is the most current adobe flash player version,5.17262,0.537623,0.728844,0.237728,146.1,72.4,1
16,8199559637713501129,swan lake the sleeping beauty and the nutcracker are three famous ballets by,5.378455,0.271917,0.854209,0.333689,182,22.32,1
17,-1640714294501064196,how many episodes are there in dragon ball z,1.379204,0.828054,0.574527,0.255178,33.9,32.53,1
18,-303776797247457856,cast of law & order special victim unit,4.633261,0.510653,0.731943,0.14561,116.8,66.22,1
