question_index,question_id,question,eigenscore,ln_entropy,avg_token_prob,lexical_similarity,length_mean,length_std,label
0,tc_2,Who was the man behind The Chipmunks?,2.870691,0.729607,0.665384,0.216142,165.1,60.02,0
1,tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,2.329386,0.237114,0.882296,0.409624,182.8,14.27,1
2,tc_40,Who was the next British Prime Minister after Arthur Balfour?,2.315989,0.300883,0.836214,0.395681,175.9,45.13,1
3,tc_49,Who had a 70s No 1 hit with Kiss You All Over?,2.262049,0.393878,0.794884,0.407934,161.8,27.86,1
4,tc_56,What claimed the life of singer Kathleen Ferrier?,2.525802,0.723346,0.63509,0.250439,205.4,39.31,0
5,tc_69,Rita Coolidge sang the title song for which Bond film?,2.333985,0.471875,0.749493,0.292089,176.3,15.2,0
6,tc_79,What was the last US state to reintroduce alcohol after prohibition?,2.589837,0.55835,0.68474,0.212095,126.1,82.9,0
7,tc_106,Which actress was voted Miss Greenwich Village in 1942?,2.46424,0.442161,0.767455,0.272058,180.1,24.5,1
8,tc_133,What is the Japanese share index called?,1.772879,0.227818,0.873117,0.583744,173.3,13.25,0
9,tc_137,What was the name of Michael Jackson's autobiography written in 1988?,2.507607,0.464672,0.765688,0.299576,187.9,28.02,0
10,tc_149,In which decade did stereo records first go on sale?,2.162818,0.3933,0.782975,0.364415,180.5,18.5,1
11,tc_165,In what year's Olympics were electric timing devices and a public-address system used for the first time?,2.385234,0.583312,0.729036,0.298539,179.5,58.49,1
12,tc_217,Which volcano in Tanzania is the highest mountain in Africa?,2.110363,0.353998,0.817459,0.429763,181.8,21.43,0
13,tc_219,The flag of Libya is a plain rectangle of which color?,0.33469,0.161718,0.915703,0.667437,182,11.21,0
14,tc_241,Of which African country is Niamey the capital?,1.946782,0.224492,0.86874,0.486296,169.7,19.11,0
15,tc_245,Who was the director of the CIA from 1976-81?,0.698804,0.174059,0.911917,0.58322,155.1,31.04,1
16,tc_261,Which musical featured the song The Street Where You Live?,2.524277,0.382558,0.797252,0.36207,179.4,22.94,1
17,tc_267,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",2.718403,0.473741,0.754396,0.326916,207.7,24.91,0
18,tc_276,Who had an 80s No 1 hit with Hold On To The Nights?,2.317499,0.389777,0.807723,0.384567,148.8,40.45,1
19,tc_280,Who directed the classic 30s western Stagecoach?,1.788807,0.336318,0.826544,0.330221,127.5,81.87,0
20,tc_282,Dave Gilmore and Roger Waters were in which rock group?,2.464609,0.348138,0.808637,0.362429,172.8,15.75,0
21,tc_288,Which highway was Revisited in a classic 60s album by Bob Dylan?,-1.606905,0.258871,0.86575,0.412341,103.2,88.8,0
