question_index,question_id,question,eigenscore,ln_entropy,avg_token_prob,lexical_similarity,length_mean,length_std,label
0,tc_2,Who was the man behind The Chipmunks?,5.243719,0.525026,0.723907,0.304691,183.6,20.7,1
1,tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,4.193531,0.258417,0.859382,0.382421,183.1,16.27,1
2,tc_40,Who was the next British Prime Minister after Arthur Balfour?,4.750242,0.527413,0.739211,0.246135,160.3,85.36,1
3,tc_49,Who had a 70s No 1 hit with Kiss You All Over?,5.00015,0.375527,0.80212,0.468035,147.6,12.09,1
4,tc_56,What claimed the life of singer Kathleen Ferrier?,5.331169,0.70882,0.650976,0.219701,208.8,17.73,1
5,tc_69,Rita Coolidge sang the title song for which Bond film?,4.794653,0.508514,0.737238,0.316522,162.5,11.33,1
6,tc_79,What was the last US state to reintroduce alcohol after prohibition?,5.635433,0.839579,0.597481,0.107504,92.7,90.02,0
7,tc_106,Which actress was voted Miss Greenwich Village in 1942?,5.38445,0.449056,0.764683,0.36379,176.3,19.88,1
8,tc_133,What is the Japanese share index called?,4.940246,0.223622,0.878654,0.513737,165.4,17.46,0
9,tc_137,What was the name of Michael Jackson's autobiography written in 1988?,5.381647,0.323133,0.834968,0.33287,182.2,33.17,0
10,tc_149,In which decade did stereo records first go on sale?,4.791453,0.423565,0.76807,0.402031,182.6,15.45,1
11,tc_165,In what year's Olympics were electric timing devices and a public-address system used for the first time?,5.17486,0.515978,0.728572,0.337811,214,20.13,1
12,tc_217,Which volcano in Tanzania is the highest mountain in Africa?,5.283604,0.316793,0.82751,0.443811,186.9,17.81,0
13,tc_219,The flag of Libya is a plain rectangle of which color?,4.542695,0.29103,0.850033,0.512263,159.7,12.83,0
14,tc_241,Of which African country is Niamey the capital?,4.897264,0.246461,0.870676,0.489213,167,12.28,0
15,tc_245,Who was the director of the CIA from 1976-81?,4.788526,0.37912,0.814174,0.35178,155.2,52.62,1
16,tc_261,Which musical featured the song The Street Where You Live?,5.180634,0.409712,0.804883,0.350555,176.9,40.5,1
17,tc_267,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",4.80511,0.490619,0.743262,0.384572,210.9,31.91,0
18,tc_276,Who had an 80s No 1 hit with Hold On To The Nights?,5.050443,0.436859,0.777865,0.3232,165,13.69,1
19,tc_280,Who directed the classic 30s western Stagecoach?,4.289211,0.391499,0.816684,0.315334,123.6,76.16,0
20,tc_282,Dave Gilmore and Roger Waters were in which rock group?,4.610368,0.327248,0.817682,0.46289,182.4,13.15,0
21,tc_288,Which highway was Revisited in a classic 60s album by Bob Dylan?,1.759586,0.267151,0.859943,0.382995,114.5,81.5,0
22,tc_298,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,3.188257,0.26028,0.86318,0.529762,196.7,17.29,0
23,tc_304,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,5.271579,0.439272,0.772604,0.171916,129,81.15,1
24,tc_316,If I Were A Rich Man Was a big hit from which stage show?,4.869786,0.653128,0.668531,0.258162,140.4,90.35,1
25,tc_349,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,5.245809,0.441194,0.765614,0.327774,183.4,11.49,1
26,tc_379,What was Truman Capote's last name before he was adopted by his stepfather?,3.412344,0.391903,0.771057,0.29742,105.5,85.75,1
27,tc_397,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",1.974374,0.228899,0.887225,0.332575,99.8,56.31,1
28,tc_453,"In the Bible, who did the sun and moon stand still before?",4.614773,0.332608,0.822757,0.420949,170.4,30.21,1
29,tc_455,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,5.016764,0.416256,0.77427,0.269246,156.5,50.23,1
30,tc_510,What was President Gerald Ford's middle name?,4.423269,0.510731,0.73668,0.259153,133.9,75.45,1
31,tc_515,Art Garfunkel trained for which profession although he didn't qualify?,5.265827,0.505365,0.752223,0.25055,171.9,28.03,1
32,tc_517,Who was the last inmate of Spandau jail in Berlin?,5.128173,0.462598,0.744503,0.368054,196.4,19.95,1
33,tc_518,What was Eddie Murphy's first movie?,5.01128,0.353701,0.81614,0.39771,180.4,13.77,1
34,tc_538,In the 80s who wrote the novel Empire of The Sun?,5.548898,0.291367,0.847462,0.423591,172.9,18.23,1
35,tc_540,Kagoshima international airport is in which country?,5.100033,0.166618,0.908588,0.58813,177.6,23.8,0
36,tc_543,In which sport could the Pacers take on the Pistons?,5.320807,0.500202,0.742985,0.238104,197.9,30.91,0
37,tc_559,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,5.152073,0.48813,0.766971,0.31772,157.7,45.59,1
38,tc_561,Where in Canada is the Lion's Gate bridge?,5.176642,0.466445,0.750893,0.411191,216.2,15.3,0
39,tc_564,What was Walter Matthau's first movie?,3.107948,0.211817,0.887388,0.536917,138.7,53.23,1
40,tc_585,Otis Barton was a pioneer in exploring where?,4.888866,0.541137,0.720232,0.327303,201.5,20.1,1
41,tc_586,Where in England was actor Nigel Hawthorne born?,4.714677,0.450073,0.763889,0.344414,186,12.13,1
42,tc_596,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",2.968088,0.316836,0.835647,0.291327,128.1,61.72,1
43,tc_604,"In Greek mythology, who were Arges, Brontes and Steropes?",5.214078,0.521768,0.719784,0.306858,191.6,22.97,1
44,tc_626,Which musician founded the Red Hot Peppers?,5.470921,0.429113,0.772159,0.310573,175.8,23.64,1
45,tc_635,Where did the Shinning Path terrorists operate?,4.52407,0.448844,0.764994,0.351684,157.3,76.42,1
46,tc_653,How old was Jimi Hendrix when he died?,5.222784,0.288594,0.850179,0.390736,154.9,18.34,0
47,tc_657,Which Brit broke the land speed record in 1990 in Thrust 2?,5.571256,0.416023,0.789987,0.289693,191,17.56,1
48,tc_664,In which state was Gene Vincent born?,5.224207,0.28673,0.841527,0.506082,173.3,13.99,1
49,tc_665,How was the European Recovery Program in the 1940s more commonly known?,5.077245,0.316695,0.837676,0.287327,147.9,80.71,0
50,tc_672,Brandon Lee died during the making of which movie?,1.078216,0.35288,0.794324,0.503657,59.5,78.88,0
51,tc_678,Who had a 70s No 1 hit with Let's Do It Again?,5.268758,0.433436,0.778468,0.317611,163.3,14.61,1
52,tc_687,Who had a Too Legit To Quit Tour?,5.702466,0.511514,0.727389,0.246679,77.5,65.84,1
53,tc_690,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",4.776604,0.464527,0.758897,0.345667,180.2,27.26,1
54,tc_691,Who is the most successful UK solo artist in the USA?,5.340576,0.482387,0.764976,0.252481,149.3,53.16,1
55,tc_704,Which country does the airline TAAG come from?,4.701023,0.351906,0.813288,0.383642,166.9,18.86,1
56,tc_715,Which US No 1 single came from Diana Ross's platinum album Diana?,4.778986,0.392309,0.788666,0.319684,185.8,25.91,1
57,tc_719,River Phoenix died during the making of which movie?,5.304214,0.587501,0.712729,0.240058,118.2,84.02,1
58,tc_723,Which artist David was born in Bradford UK?,2.987775,0.149566,0.916076,0.564425,172.5,9.73,0
59,tc_725,What is Mel Gibson's middle name?,5.21595,0.497994,0.733691,0.170738,91.7,59.63,1
60,tc_731,Richard Daley was mayor of which city for 21 years?,4.95195,0.359241,0.805838,0.373393,179.9,12.86,0
61,tc_759,"""In which movie did Garbo say, """"I want to be alone"""".""",2.844762,0.182539,0.908135,0.603319,144.9,5.67,1
62,tc_783,What is Osbert Lancaster best known for producing?,5.16984,0.590299,0.698824,0.280464,216.4,29.87,1
63,tc_812,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,4.598826,0.221801,0.87573,0.457055,177.5,17.93,1
64,tc_827,Who was the first US-born winner of golf's British Open?,5.215633,0.458167,0.74296,0.284436,191.7,14.0,0
65,tc_841,In which country is the Sky Train Rail bridge?,4.204106,0.24717,0.864787,0.566068,192.4,16.42,0
66,tc_847,What was the Paramount Film Company originally called?,5.161028,0.349741,0.822149,0.415251,204.1,36.58,1
67,tc_866,Who was the first person after Scott to reach the South Pole overland?,4.151395,0.45429,0.791039,0.372749,167.5,55.09,1
68,tc_875,Which journalist first told the world about the My Lai massacre?,4.423756,0.264378,0.858291,0.491449,183.2,16.35,0
69,tc_881,What is the name of Terence and Shirley Conran's dress designer son?,5.14609,0.438487,0.771717,0.333594,178.2,23.13,1
70,tc_886,Which drink did The Spice Girls promote?,5.188642,0.361868,0.810763,0.315052,180.1,23.02,1
71,tc_888,Who was the youngest brother in the Beach Boys?,4.845985,0.349224,0.818324,0.395495,179.4,16.43,0
72,tc_905,Who first hosted Family Feud?,5.020926,0.381541,0.794493,0.283182,184.7,28.66,0
73,tc_935,What did the Lone Ranger's title Kemo Sabe mean in Apache?,5.130434,0.401542,0.789168,0.327541,156.7,48.53,1
74,tc_938,Who or what was Gentle Ben in the 60s TV series?,5.338469,0.730912,0.649412,0.279071,205.3,22.13,1
75,tc_945,Which 70s show was based on the British show Till Death Us Do Part?,2.332134,0.24569,0.868351,0.431905,148.3,69.96,1
76,tc_954,On what date in 1969 did Neil Armstrong first set foot on the Moon?,4.108367,0.244717,0.865412,0.517495,190.4,12.18,0
77,tc_955,Bandar Seri Begawan International airport is in which country?,1.582093,0.096109,0.949216,0.603983,169.1,6.85,0
78,tc_962,What was the profession of Paul Strand (1890 - 1976)?,5.29345,0.221098,0.882274,0.579222,172.2,8.78,0
79,tc_1004,Who had a 60s No 1 with Downtown?,4.892938,0.401933,0.787889,0.419875,153.4,16.64,1
80,tc_1007,"Who was born first, Kiefer Sutherland or Christian Slater?",5.180686,0.43413,0.770826,0.246392,171.8,55.48,0
81,tc_1008,"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",3.954075,0.480176,0.765881,0.379086,142,76.1,0
82,tc_1009,Who was the Georgia Peach?,5.121507,0.603551,0.70119,0.256324,205.8,23.6,0
83,tc_1020,Who set fire to his guitar at the Monterey Pop festival in 19676?,5.337315,0.380726,0.813289,0.331351,177.9,12.44,0
84,tc_1023,Della Street was whose secretary?,5.268869,0.379486,0.800781,0.368518,200.2,40.99,1
85,tc_1028,"In music, who was Sweet and Innocent and Too Young?",0.107825,0.309357,0.826042,0.422231,107.6,82.6,1
86,tc_1029,Who is featured on Puff Daddy's Can't Hold Me Down?,5.025491,0.49515,0.739357,0.270956,172.6,20.05,0
87,tc_1068,What had Edmond Hillary worked at before taking up mountain climbing?,2.715644,0.412511,0.78637,0.214252,89.6,71.08,1
88,tc_1069,In which American state is the Isabella Stewart Gardner Museum?,4.885799,0.260121,0.85734,0.450381,209,17.47,0
89,tc_1070,Benina international airport is in which country?,4.493417,0.194291,0.891341,0.508389,193,33.67,1
90,tc_1098,Beloved in 1999 was whose first movie since The Color Purple in 1985?,4.982635,0.498632,0.736504,0.288995,181.9,35.74,1
91,tc_1114,Which Star Trek star directed Three Men and a Baby?,5.336257,0.183717,0.893323,0.49341,175.9,14.08,0
92,tc_1115,Which sitcom star appeared on the big screening The Object of My Affection?,3.70315,0.329432,0.828773,0.378951,189,11.05,1
93,tc_1120,"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",4.853348,0.301075,0.845517,0.398594,180,19.81,1
94,tc_1123,Which US president did Anthony Hopkins play in a film whose title was simply his name?,4.256818,0.314629,0.843496,0.373717,180.9,60.23,0
95,tc_1124,Which movie was a biopic about the life of David Helfgott?,3.67144,0.36992,0.814142,0.424578,128.2,67.95,1
96,tc_1128,Which film director guested as the FBI Director in The Silence of the Lambs?,4.990268,0.341118,0.81842,0.329477,186.7,10.88,1
97,tc_1131,In which sci fi classic did the space ship Nostromo first appear?,5.442726,0.484291,0.752718,0.281151,146.5,62.4,0
98,tc_1152,Nigel Hawthorne was Oscar nominated for The Madness of which King?,5.061242,0.416521,0.785795,0.311483,156.6,71.46,0
99,tc_1156,Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,5.311086,0.234008,0.879085,0.548995,197.2,16.83,1
100,tc_1176,Which Oscar-nominated film had You Sexy Thing as its theme song?,3.637583,0.270547,0.855718,0.482116,178.6,13.23,1
101,tc_1179,Which Joan's career revived in Whatever Happened to Baby Jane?,5.07379,0.563408,0.709265,0.263041,190.7,59.55,0
102,tc_1181,Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,2.588894,0.171497,0.903474,0.629784,195,11.53,0
103,tc_1183,Which legendary dancer was Oscar-nominated for The Towering Inferno?,5.095034,0.292356,0.845377,0.382636,195.2,14.95,0
104,tc_1189,What was the name of the brothel in The Best Little Whorehouse in Texas?,1.161563,0.182766,0.914208,0.578188,161.8,52.07,1
105,tc_1210,Who was the male star of the movie The Man of La Mancha?,4.883062,0.374895,0.809572,0.361294,171.1,28.49,0
106,tc_1243,What relation is Joey Richardson to Vanessa Redgrave?,4.937112,0.486411,0.746633,0.226509,163.1,53.06,0
107,tc_1250,Melanie Molitor is the mom of which tennis world NO 1?,5.004272,0.419333,0.786013,0.40567,197.6,22.61,1
108,tc_1254,Marc Dutroux hit the headlines over a 'house of horrors' in which country?,5.138488,0.506287,0.746678,0.307226,189.5,14.96,0
109,tc_1284,On which date in 1945 did Hitler take cyanide then shoot himself?,4.936985,0.518211,0.741171,0.288961,167.6,46.42,0
110,tc_1313,In which river is the Boulder Dam?,4.861434,0.330968,0.839607,0.47091,185.3,18.96,0
111,tc_1321,"Which sports event was first held at Worcester, Massachusetts in 1927?",5.236267,0.532719,0.725191,0.278562,226.5,29.92,1
112,tc_1323,In which European city is the Belvederen Gallery?,5.026086,0.279198,0.857637,0.478833,182.9,13.12,0
113,tc_1324,How old was Woody Herman when he founded his own orchestra?,4.806885,0.208597,0.882169,0.517889,176.3,14.6,1
114,tc_1328,For which movie did Katharine Hepburn win her second Oscar?,5.479787,0.465819,0.766572,0.286092,194.8,25.46,1
115,tc_1331,Who had a 60s No 1 hit with This Diamond Ring?,5.304269,0.359795,0.814591,0.428454,159.9,16.48,1
116,tc_1333,The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,4.915954,0.330675,0.837409,0.400022,200.5,36.19,0
117,tc_1340,In which country was the first permanent bungee jumping site situated?,4.535207,0.245049,0.868366,0.494136,211.1,21.64,0
118,tc_1341,Who succeeded Brezhnev as Soviet premier?,5.528097,0.276023,0.851522,0.304785,152.8,22.57,0
119,tc_1348,In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,4.061499,0.271065,0.850204,0.426253,166.7,19.3,1
120,tc_1365,In which city's shipyard was Solidarity set up?,5.040194,0.330434,0.820222,0.385314,157.3,9.7,0
121,tc_1387,Which female singer was born on exactly the same day as impressionist Rich Little?,5.01043,0.38672,0.810097,0.389551,184,17.22,1
122,tc_1421,What is Harrison Ford's real name?,4.021331,0.568928,0.674457,0.208972,95.7,89.99,0
123,tc_1442,Who's home runs record did Mark McGwire break in the 1998 season?,4.475517,0.583402,0.694534,0.194059,82,85.67,1
124,tc_1456,Who won baseball's first World Series of the 80s?,5.04689,0.382,0.797091,0.370828,190.3,16.95,1
125,tc_1468,What was Pete Sampras seeded when he won his first US Open?,5.261573,0.33514,0.824981,0.261829,128.9,55.69,1
126,tc_1484,"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",4.491422,0.254662,0.869285,0.398774,156.7,10.03,1
127,tc_1485,Where did Jonathan Edwards set his 1995 triple jump world record?,5.257037,0.477503,0.737639,0.258945,197.6,18.06,0
128,tc_1516,"In baseball, where do the Orioles come from?",4.838995,0.664245,0.671211,0.247238,134.3,76.11,0
129,tc_1535,The Naismith Award is presented in which sport?,4.755329,0.29277,0.846275,0.374935,180.2,13.33,0
130,tc_1537,Which cartoon and film character is the nickname of super athlete Michael Johnson?,5.233829,0.354469,0.82731,0.496632,203.7,24.13,1
